;Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
352;atletico-mg;Pedrinho;1;19;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
353;palmeiras;Jhon Jhon;3;19;1;0;0;0;1;0;0;0;1;0;0;1;2;0;0;0;0;3;1;0
354;cruzeiro;Neris;1;19;1;1;0;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;1;0
355;fortaleza;Thiago Galhardo;4;19;2;0;1;0;0;0;1;0;1;0;0;4;0;2;0;0;0;14;0;0
356;bragantino;Ignacio Laquintana;2;19;2;0;1;1;1;1;0;0;1;0;0;2;3;2;2;0;0;10;0;0
357;goias;Matheusinho;2;18;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;0
358;cruzeiro;Reynaldo;1;18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
359;america-mg;Adyson;2;18;0;1;4;2;0;0;0;0;5;0;0;0;1;0;0;0;0;4;0;0
360;coritiba;Zé Roberto;3;17;2;0;0;1;0;0;1;0;0;0;0;0;7;5;0;0;0;7;2;0
361;santos;Deivid Washington;2;17;5;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;8;1;0
362;vasco;Gabriel Carabajal;1;17;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0
363;bragantino;Realpe;1;17;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
364;gremio;Felipe Carballo;1;17;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;3;0;0
365;gremio;André Henrique;4;17;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;3;0;0
366;bahia;Daniel;2;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
367;athletico-pr;David Terans;2;16;2;1;0;0;1;0;0;0;2;0;0;0;1;3;1;0;0;9;0;0
368;vasco;Luca Orellano;3;16;1;1;0;0;4;1;0;0;0;0;0;2;3;3;0;0;0;4;0;0
369;cruzeiro;Daniel;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
